timestamp,temperature,humidity(%),latency(ms),throughput(bytes/sec),packet_loss(%),rssi(dBm)
2025-05-12 | 12:15:57,32.1,60.1,0.357421875,0.054,0.0,-59
2025-05-12 | 12:15:58,32.1,60.0,0.253662109375,0.054,0.0,-58
2025-05-12 | 12:16:01,32.1,59.9,0.3603515625,0.054,0.0,-59
2025-05-12 | 12:16:02,32.1,60.1,0.194580078125,0.054,0.0,-59
2025-05-12 | 12:16:05,32.1,60.0,0.291259765625,0.054,0.0,-57
2025-05-12 | 12:16:07,32.1,60.0,0.40576171875,0.054,0.0,-59
2025-05-12 | 12:16:09,32.1,59.8,0.365234375,0.054,0.0,-59
2025-05-12 | 12:16:11,32.1,60.0,0.228515625,0.054,0.0,-57
2025-05-12 | 12:16:15,32.1,59.9,0.31298828125,0.054,0.0,-59
2025-05-12 | 12:16:17,32.1,60.0,0.177978515625,0.054,0.0,-59
2025-05-12 | 12:16:19,32.1,59.9,0.15869140625,0.054,0.0,-59
2025-05-12 | 12:16:21,32.1,60.0,0.31396484375,0.054,0.0,-57
2025-05-12 | 12:16:23,32.1,60.0,0.2099609375,0.054,0.0,-59
2025-05-12 | 12:16:25,32.1,59.8,0.18994140625,0.054,0.0,-59
2025-05-12 | 12:16:27,32.1,59.8,0.287841796875,0.054,0.0,-58
2025-05-12 | 12:16:30,32.1,59.9,0.29638671875,0.054,0.0,-57
2025-05-12 | 12:16:32,32.1,59.8,0.1787109375,0.054,0.0,-59
2025-05-12 | 12:16:34,32.1,59.8,0.208740234375,0.054,0.0,-59
2025-05-12 | 12:16:36,32.1,59.9,0.263427734375,0.054,0.0,-58
2025-05-12 | 12:16:41,32.1,59.9,0.367919921875,0.054,0.0,-58
2025-05-12 | 12:16:45,32.1,59.8,0.26220703125,0.054,0.0,-59
2025-05-12 | 12:16:49,32.1,59.9,0.36181640625,0.054,0.0,-59
2025-05-12 | 12:16:51,32.1,59.9,0.355224609375,0.054,0.0,-58
2025-05-12 | 12:17:05,32.1,59.8,0.280029296875,0.054,0.0,-57
2025-05-12 | 12:17:09,32.1,59.8,0.26513671875,0.054,0.0,-58
2025-05-12 | 12:17:11,32.1,59.9,0.286376953125,0.054,0.0,-58
2025-05-12 | 12:17:13,32.1,59.7,0.26318359375,0.054,0.0,-58
2025-05-12 | 12:17:15,32.1,59.8,0.299072265625,0.054,0.0,-59
2025-05-12 | 12:17:18,32.1,59.8,0.267822265625,0.054,0.0,-58
2025-05-12 | 12:17:20,32.1,59.9,0.2734375,0.054,0.0,-58
2025-05-12 | 12:17:23,32.1,59.8,0.3369140625,0.054,0.0,-58
2025-05-12 | 12:17:27,32.1,59.8,0.35888671875,0.054,0.0,-58
2025-05-12 | 12:17:29,32.1,59.8,0.40283203125,0.054,0.0,-58
2025-05-12 | 12:17:31,32.1,59.8,0.361572265625,0.054,0.0,-57
2025-05-12 | 12:17:43,32.1,59.7,0.22802734375,0.054,0.0,-58
2025-05-12 | 12:17:45,32.1,59.8,0.316650390625,0.054,0.0,-58
2025-05-12 | 12:17:48,32.1,59.7,0.17822265625,0.054,0.0,-58
2025-05-12 | 12:17:50,32.1,59.7,0.3681640625,0.054,0.0,-58
2025-05-12 | 12:17:52,32.1,59.7,0.364501953125,0.054,0.0,-58
2025-05-12 | 12:17:56,32.1,59.7,0.35595703125,0.054,0.0,-57
2025-05-12 | 12:17:58,32.1,59.7,0.355712890625,0.054,0.0,-59
2025-05-12 | 12:18:01,32.1,59.7,0.361572265625,0.054,0.0,-58
2025-05-12 | 12:18:04,32.1,59.8,0.35986328125,0.054,0.0,-57
2025-05-12 | 12:18:06,32.1,59.7,0.356689453125,0.054,0.0,-59
2025-05-12 | 12:18:08,32.1,59.7,0.3544921875,0.054,0.0,-58
2025-05-12 | 12:18:14,32.1,59.8,0.359619140625,0.054,0.0,-58
2025-05-12 | 12:18:18,32.1,59.6,0.3154296875,0.054,0.0,-58
2025-05-12 | 12:18:22,32.1,59.7,0.409423828125,0.054,0.0,-58
2025-05-12 | 12:18:24,32.1,59.6,0.242431640625,0.054,0.0,-58
2025-05-12 | 12:18:26,32.1,59.6,0.28271484375,0.054,0.0,-57
2025-05-12 | 12:18:29,32.1,59.7,0.3720703125,0.054,0.0,-57
2025-05-12 | 12:18:31,32.1,59.8,0.36865234375,0.054,0.0,-58
2025-05-12 | 12:18:33,32.1,59.7,0.37255859375,0.054,0.0,-58
2025-05-12 | 12:18:36,32.1,59.8,0.406005859375,0.054,0.0,-58
2025-05-12 | 12:18:37,32.1,59.8,0.380126953125,0.054,0.0,-57
2025-05-12 | 12:18:40,32.1,59.7,0.359619140625,0.054,0.0,-58
2025-05-12 | 12:18:41,32.1,59.7,0.379150390625,0.054,0.0,-58
2025-05-12 | 12:18:46,32.1,59.7,0.3466796875,0.054,0.0,-58
2025-05-12 | 12:18:48,32.1,59.7,0.246337890625,0.054,0.0,-58
2025-05-12 | 12:18:50,32.1,59.8,0.36181640625,0.054,0.0,-57
2025-05-12 | 12:18:53,32.1,59.8,0.361328125,0.054,0.0,-58
2025-05-12 | 12:18:55,32.1,59.8,0.289306640625,0.054,0.0,-58
2025-05-12 | 12:18:58,32.1,59.8,0.338134765625,0.054,0.0,-58
2025-05-12 | 12:19:00,32.1,59.8,0.3115234375,0.054,0.0,-57
2025-05-12 | 12:19:04,32.1,59.7,0.171142578125,0.054,0.0,-58
2025-05-12 | 12:19:05,32.1,59.8,0.587158203125,0.054,0.0,-58
2025-05-12 | 12:19:08,32.1,59.8,0.1728515625,0.054,0.0,-58
2025-05-12 | 12:19:10,32.1,59.7,0.177490234375,0.054,0.0,-57
2025-05-12 | 12:19:13,32.1,59.6,0.24072265625,0.054,0.0,-59
2025-05-12 | 12:19:17,32.1,59.6,0.281005859375,0.054,0.0,-58
2025-05-12 | 12:19:18,32.1,59.5,0.275146484375,0.054,0.0,-57
2025-05-12 | 12:19:20,32.1,59.7,0.176513671875,0.054,0.0,-59
2025-05-12 | 12:19:22,32.1,59.6,0.180419921875,0.054,0.0,-57
2025-05-12 | 12:19:24,32.1,59.6,0.242431640625,0.054,0.0,-58
2025-05-12 | 12:19:26,32.1,59.6,0.255126953125,0.054,0.0,-58
2025-05-12 | 12:19:29,32.1,59.5,0.26708984375,0.054,0.0,-58
2025-05-12 | 12:19:33,32.1,59.6,0.354736328125,0.054,0.0,-58
2025-05-12 | 12:19:35,32.1,59.5,0.3037109375,0.054,0.0,-59
2025-05-12 | 12:19:38,32.1,59.5,0.3544921875,0.054,0.0,-57
2025-05-12 | 12:19:40,32.1,59.7,0.233154296875,0.054,0.0,-57
2025-05-12 | 12:19:42,32.1,59.5,0.2421875,0.054,0.0,-57
2025-05-12 | 12:19:44,32.1,59.5,0.363037109375,0.054,0.0,-58
2025-05-12 | 12:19:46,32.1,59.6,0.193115234375,0.054,0.0,-58
2025-05-12 | 12:19:49,32.1,59.4,0.361572265625,0.054,0.0,-58
2025-05-12 | 12:19:51,32.1,59.5,0.369873046875,0.054,0.0,-57
2025-05-12 | 12:19:52,32.1,59.5,0.196044921875,0.054,0.0,-58
2025-05-12 | 12:19:55,32.1,59.4,0.359619140625,0.054,0.0,-58
2025-05-12 | 12:19:57,32.1,59.4,0.375,0.054,0.0,-58
2025-05-12 | 12:19:59,32.1,59.4,0.18896484375,0.054,0.0,-58
2025-05-12 | 12:20:05,32.1,59.4,0.235595703125,0.054,0.0,-58
2025-05-12 | 12:20:09,32.1,59.4,0.265625,0.054,0.0,-57
2025-05-12 | 12:20:11,32.1,59.5,0.267578125,0.054,0.0,-58
2025-05-12 | 12:20:13,32.1,59.5,0.267333984375,0.054,0.0,-58
2025-05-12 | 12:20:15,32.1,59.5,0.27392578125,0.054,0.0,-57
2025-05-12 | 12:20:17,32.1,59.3,0.244873046875,0.054,0.0,-58
2025-05-12 | 12:20:19,32.1,59.4,0.279541015625,0.054,0.0,-57
2025-05-12 | 12:20:21,32.1,59.3,0.368408203125,0.054,0.0,-58
2025-05-12 | 12:20:23,32.1,59.4,0.35791015625,0.054,0.0,-59
2025-05-12 | 12:20:25,32.1,59.4,0.264404296875,0.054,0.0,-59
2025-05-12 | 12:20:28,32.1,59.4,0.2216796875,0.054,0.0,-57
2025-05-12 | 12:20:30,32.1,59.3,0.241455078125,0.054,0.0,-58
2025-05-12 | 12:20:32,32.1,59.4,0.275390625,0.054,0.0,-58
2025-05-12 | 12:20:35,32.1,59.3,0.300537109375,0.054,0.0,-58
2025-05-12 | 12:20:40,32.1,59.2,0.57177734375,0.054,0.0,-57
2025-05-12 | 12:20:42,32.1,59.2,0.229248046875,0.054,0.0,-57
2025-05-12 | 12:20:44,32.1,59.3,0.3544921875,0.054,0.0,-58
2025-05-12 | 12:20:46,32.1,59.2,0.357666015625,0.054,0.0,-57
2025-05-12 | 12:20:48,32.1,59.2,0.256591796875,0.054,0.0,-58
2025-05-12 | 12:21:00,32.1,59.2,0.65966796875,0.054,0.0,-57
2025-05-12 | 12:21:03,32.1,59.4,0.254150390625,0.054,0.0,-58
2025-05-12 | 12:21:05,32.1,59.3,0.333984375,0.054,0.0,-59
2025-05-12 | 12:21:07,32.1,59.3,0.271240234375,0.054,0.0,-57
2025-05-12 | 12:21:09,32.1,59.3,0.22021484375,0.054,0.0,-58
2025-05-12 | 12:21:11,32.1,59.2,0.13818359375,0.054,0.0,-59
2025-05-12 | 12:21:13,32.1,59.2,0.27783203125,0.054,0.0,-58
2025-05-12 | 12:21:15,32.1,59.4,0.279052734375,0.054,0.0,-58
2025-05-12 | 12:21:17,32.1,59.2,0.251953125,0.054,0.0,-57
2025-05-12 | 12:21:20,32.1,59.4,0.26318359375,0.054,0.0,-57
2025-05-12 | 12:21:22,32.1,59.3,0.24462890625,0.054,0.0,-58
2025-05-12 | 12:21:24,32.1,59.2,0.3642578125,0.054,0.0,-58
2025-05-12 | 12:21:26,32.1,59.4,0.290283203125,0.054,0.0,-57
2025-05-12 | 12:21:28,32.1,59.2,0.36279296875,0.054,0.0,-57
2025-05-12 | 12:21:30,32.1,59.2,0.22509765625,0.054,0.0,-58
2025-05-12 | 12:21:33,32.1,59.3,0.329345703125,0.054,0.0,-57
2025-05-12 | 12:21:35,32.1,59.1,0.381591796875,0.054,0.0,-58
2025-05-12 | 12:21:37,32.1,59.3,0.381103515625,0.054,0.0,-58
2025-05-12 | 12:21:39,32.1,59.2,0.373779296875,0.054,0.0,-59
2025-05-12 | 12:21:41,32.1,59.1,0.37890625,0.054,0.0,-58
